Date,Volume,Adj Close
8/3/2005,5930600,297.3
8/2/2005,7290200,299.19
8/1/2005,5662400,291.61
7/29/2005,8363300,287.76
7/28/2005,5925600,293.5
7/27/2005,7217900,296.93
7/26/2005,9816900,296.09
7/25/2005,9658800,295.85
7/22/2005,23386800,302.4
7/21/2005,19789400,313.94
7/20/2005,14310400,312
7/19/2005,12621400,309.9
7/18/2005,6207800,299.54
7/15/2005,8438400,301.19
7/14/2005,10667700,300.89
7/13/2005,11437900,298.86
7/12/2005,5864900,291.78
7/11/2005,8390300,293.35
7/8/2005,7457600,296.23
7/7/2005,10672100,295.54
7/6/2005,8000300,291.52
7/5/2005,7494000,295.71
7/1/2005,9227600,291.25
6/30/2005,15094400,294.15
6/29/2005,18298700,292.72
6/28/2005,19036500,302
6/27/2005,17802900,304.1
6/24/2005,17771200,297.25
6/23/2005,14056400,289.71
6/22/2005,10474000,289.3
6/21/2005,15132300,287.84
6/20/2005,21024700,286.7
6/17/2005,10434400,280.3
6/16/2005,12462400,277.44
6/15/2005,20883100,274.8
6/14/2005,10091900,278.35
6/13/2005,12803200,282.75
6/10/2005,12696600,282.5
6/9/2005,16441100,286.31
6/8/2005,25700900,279.56
6/7/2005,24323000,293.12
6/6/2005,22525900,290.94
6/3/2005,18782300,280.26
6/2/2005,17974100,287.9
6/1/2005,35191700,288
5/31/2005,22236800,277.27
5/27/2005,12184100,266
5/26/2005,13546600,259.2
5/25/2005,18057900,260.81
5/24/2005,29043100,256
5/23/2005,21388300,255.45
5/20/2005,8163500,241.61
5/19/2005,9716500,239.18
5/18/2005,12312000,239.16
5/17/2005,7808900,233.13
5/16/2005,5681400,231.05
5/13/2005,7415500,229.24
5/12/2005,8948200,228.72
5/11/2005,11478800,231.29
5/10/2005,6345800,227.8
5/9/2005,5536800,226.02
5/6/2005,6763900,228.02
5/5/2005,7509600,226.98
5/4/2005,12083500,228.5
5/3/2005,17780200,226.19
5/2/2005,9767400,222.29
4/29/2005,9170200,220
4/28/2005,8682800,219.45
4/27/2005,10264800,219.78
4/26/2005,17272000,218.75
4/25/2005,19840000,223.53
4/22/2005,33205100,215.81
4/21/2005,17751900,204.22
4/20/2005,15451500,198.1
4/19/2005,8430000,191.4
4/18/2005,6550300,186.97
4/15/2005,11577400,185
4/14/2005,6152700,191.45
4/13/2005,6555800,192.93
4/12/2005,7319600,193.96
4/11/2005,5410500,193.23
4/8/2005,5116600,192.05
4/7/2005,9692200,193.76
4/6/2005,5252600,189.22
4/5/2005,8736700,188.57
4/4/2005,8076400,185.29
4/1/2005,6182000,180.04
3/31/2005,6768600,180.51
3/30/2005,6236100,180.45
3/29/2005,6473000,179.57
3/28/2005,8738000,181.42
3/24/2005,3705200,179.25
3/23/2005,4845000,178.98
3/22/2005,5631700,178.6
3/21/2005,7483700,180.88
3/18/2005,7090000,180.04
3/17/2005,8260600,179.29
3/16/2005,7106300,175.6
3/15/2005,10422100,178.61
3/14/2005,11146600,174.99
3/11/2005,8028300,177.8
3/10/2005,10960500,179.98
3/9/2005,11360400,181.35
3/8/2005,8046100,185.2
3/7/2005,8667400,188.81
3/4/2005,6774100,185.9
3/3/2005,7608600,187.01
3/2/2005,7285500,185.18
3/1/2005,9311200,186.06
2/28/2005,7818400,187.99
2/25/2005,9973500,185.87
2/24/2005,25814300,188.89
2/23/2005,15586000,193.95
2/22/2005,13483700,191.37
2/18/2005,8485900,197.95
2/17/2005,10414400,197.9
2/16/2005,16532300,198.41
2/15/2005,25782800,195.23
2/14/2005,38562200,192.99
2/11/2005,13116000,187.4
2/10/2005,18982700,187.98
2/9/2005,17171500,191.58
2/8/2005,11480000,198.64
2/7/2005,12960400,196.03
2/4/2005,14819300,204.36
2/3/2005,12988100,210.86
2/2/2005,32799300,205.96
2/1/2005,18839000,191.9
1/31/2005,9596700,195.62
1/28/2005,12208200,190.34
1/27/2005,6627400,188.08
1/26/2005,12307900,189.24
1/25/2005,10659200,177.12
1/24/2005,14022700,180.72
1/21/2005,9258400,188.28
1/20/2005,9001600,193.92
1/19/2005,11257700,197.3
1/18/2005,13172600,203.9
1/14/2005,9640300,199.97
1/13/2005,6849400,195.33
1/12/2005,8177800,195.38
1/11/2005,6958700,193.54
